"","MARVEL","DC"
"abilities",4,0
"ability",1,1
"accept",0,1
"accident",1,0
"acrobat",0,1
"acrobatic",1,0
"across",0,1
"act",0,1
"actions",1,1
"active",0,1
"adoptive",0,1
"advanced",1,0
"affairs",1,0
"afghan",1,0
"agency",0,1
"agent",2,0
"ago",1,0
"aka",1,0
"alien",4,3
"alliance",1,0
"allies",3,0
"allout",1,0
"allpowerful",1,0
"ally",1,1
"alongside",1,0
"also",1,0
"altered",1,0
"alterego",1,1
"alternate",1,0
"alters",1,0
"amazonian",0,1
"ambitious",2,0
"america",3,0
"among",0,1
"amongst",1,0
"amorous",0,1
"anarchy",0,1
"ancient",1,1
"angry",1,0
"another",1,0
"antimutant",1,0
"antman",1,0
"apart",1,0
"apocalypse",0,1
"archenemy",1,0
"arent",1,0
"armed",1,0
"armor",1,0
"army",1,0
"arrogant",1,0
"arthur",0,2
"artifact",0,1
"arts",2,0
"asgard",2,0
"assassin",1,0
"assassinforhire",1,0
"assassins",1,0
"assemble",1,0
"assembles",1,0
"astonishing",1,0
"astronauts",1,0
"atlantis",0,1
"attacks",1,0
"attempt",2,0
"attempts",1,0
"attorney",0,1
"avenger",1,0
"avengers",5,0
"aware",1,0
"awkward",1,0
"balance",1,0
"balances",2,0
"bane",0,1
"banner",3,0
"batman",0,7
"battle",2,1
"battles",1,0
"become",0,1
"becomes",7,3
"befalls",1,0
"begins",1,2
"beings",1,0
"beset",1,0
"bestows",0,1
"bigger",1,0
"billionaire",1,0
"bitten",2,0
"black",2,1
"blade",2,0
"blaze",2,0
"blinded",1,0
"blitz",1,0
"bloody",0,1
"bonded",1,0
"bonds",1,0
"bounty",1,1
"boy",1,1
"brilliant",2,0
"bringing",1,0
"brings",0,1
"brother",1,0
"brotherhood",1,0
"bruce",3,1
"brutal",1,1
"burglar",1,0
"businessman",1,2
"cable",1,0
"called",3,0
"calling",0,1
"canary",0,1
"captain",3,0
"captive",1,0
"carol",1,0
"cast",1,0
"castle",1,0
"cat",1,1
"catwoman",0,2
"caught",1,0
"causes",4,0
"causing",2,0
"cave",1,0
"celestial",1,0
"challenger",1,0
"challenging",1,0
"chance",1,0
"change",1,1
"changed",1,1
"chaos",0,1
"charles",1,0
"child",1,1
"circus",0,1
"city",3,5
"clash",1,0
"clownishly",0,1
"colleague",0,2
"colonel",1,0
"combat",1,0
"come",1,0
"comedian",0,1
"comes",3,0
"completely",0,1
"conflict",0,1
"confront",1,0
"conspiracy",1,0
"constantine",0,1
"contend",1,1
"contends",1,0
"corps",0,1
"corrupt",2,0
"corruption",0,1
"cosmic",1,0
"council",1,0
"countrys",1,0
"course",0,1
"crashes",0,1
"creates",1,0
"creed",1,0
"crime",2,3
"crimeridden",0,1
"criminal",0,2
"criminals",1,0
"cruel",0,1
"cure",2,0
"curry",0,1
"curse",1,0
"cyborg",1,0
"dangerous",1,1
"danvers",1,0
"dark",2,1
"darker",1,0
"darkness",1,0
"daughter",1,0
"deadpool",1,0
"dealing",1,0
"deals",0,1
"death",0,1
"decide",1,0
"decides",1,0
"declining",1,0
"defeat",2,0
"defenders",1,0
"defensive",0,1
"deformed",0,1
"demolishes",1,0
"demonologist",0,1
"dent",0,1
"desire",0,1
"desperate",1,0
"destiny",0,1
"destruction",2,1
"detective",0,1
"devastating",1,0
"devastation",1,0
"develop",1,0
"develops",1,0
"devil",1,0
"devils",2,0
"diana",0,3
"discovering",1,1
"discriminated",1,0
"disregarded",0,1
"district",0,1
"divide",1,0
"doctor",3,0
"doggedly",0,1
"doom",2,0
"dormant",1,0
"dose",1,0
"downward",0,1
"dracula",1,0
"drawn",1,0
"duck",1,0
"dying",0,2
"dyne",1,0
"early",1,0
"earth",6,5
"earths",2,0
"edward",0,1
"effort",1,0
"ego",1,0
"eight",0,1
"elderly",1,0
"elektra",1,0
"elves",1,0
"embark",1,0
"embarks",0,1
"embrace",2,0
"embroiled",1,0
"employee",0,1
"enacting",1,0
"encounter",1,0
"end",1,0
"endgame",1,0
"endowed",0,1
"enemy",3,3
"engineer",1,0
"enhanced",1,0
"enigmatic",0,1
"enlists",0,1
"enslaving",1,0
"entire",1,0
"entity",2,0
"erik",1,0
"eriks",1,0
"escalation",1,0
"escape",1,0
"evacuated",0,1
"even",1,3
"event",1,0
"events",2,0
"eventually",1,0
"evil",3,1
"evolved",1,0
"examining",0,1
"exchange",0,1
"exile",0,1
"exist",1,1
"exorcist",0,1
"experience",1,0
"experimentation",1,0
"experimented",1,0
"exposure",1,0
"extinct",1,0
"extreme",0,1
"face",1,1
"facetoface",0,1
"facility",1,0
"failed",1,0
"failing",1,0
"faith",0,1
"family",3,0
"fanatical",1,0
"fantastic",1,0
"fascinated",0,1
"father",4,0
"fathers",2,0
"fbi",2,0
"fearing",0,1
"featuring",1,0
"feeding",1,0
"fellow",2,0
"female",1,1
"fight",4,3
"fighting",1,0
"fights",1,0
"find",2,0
"finds",2,2
"finest",1,0
"first",0,3
"five",1,1
"fleck",0,1
"foe",1,0
"following",1,0
"force",0,2
"forced",0,1
"forces",2,0
"forever",1,0
"form",2,1
"former",1,2
"formidable",1,0
"forms",1,0
"forward",1,0
"foster",1,0
"fostered",0,1
"foulmouthed",1,0
"four",3,0
"frank",1,0
"free",0,1
"freedom",0,1
"freeze",0,1
"freezing",0,1
"friend",2,0
"fueled",0,1
"full",0,1
"future",2,0
"gain",1,0
"gains",2,1
"galactic",1,0
"galactus",1,0
"genetically",2,0
"genetics",1,0
"get",1,0
"gets",4,0
"ghost",2,0
"girl",0,1
"god",1,0
"goes",0,2
"going",1,0
"gone",0,1
"gotham",0,7
"government",2,1
"granted",0,1
"grants",0,1
"gray",1,0
"greater",0,1
"greatest",0,2
"green",1,1
"grey",1,0
"group",3,0
"groups",1,0
"grows",0,1
"guardians",1,0
"guerrilla",0,1
"hal",0,1
"halfmortal",1,0
"halfvampire",1,0
"hands",1,0
"hank",2,0
"harley",0,1
"harness",1,0
"harvey",0,1
"havoc",0,2
"head",0,1
"healing",1,0
"health",1,0
"heir",1,1
"heist",1,0
"hela",1,0
"held",2,0
"hell",0,1
"help",4,4
"helps",0,1
"hero",1,2
"heroes",3,0
"hidden",1,0
"high",2,0
"history",2,1
"home",0,2
"homes",0,1
"homeworld",1,1
"homicidal",0,1
"hope",1,0
"horribly",1,0
"human",1,0
"humanborn",0,1
"humanity",2,1
"humanoid",1,0
"humans",4,1
"hunt",1,0
"hunter",1,1
"huntress",0,1
"identity",1,0
"immortal",1,0
"important",0,1
"imprisoned",1,0
"incarcerated",0,1
"increase",1,0
"incredible",1,0
"inducts",0,1
"inevitable",1,0
"infinity",1,0
"injustice",0,1
"inner",2,0
"inspired",0,1
"instead",0,1
"intends",1,0
"intergalactic",1,1
"invade",0,1
"invaded",1,0
"invasion",1,0
"investigation",0,1
"involvement",1,0
"involving",1,0
"iron",2,0
"issues",1,0
"ivy",0,1
"jack",0,1
"james",1,0
"jane",1,0
"japan",1,0
"jean",2,0
"john",0,1
"johnny",2,0
"join",1,0
"joins",0,1
"joker",0,4
"jokers",0,1
"jordan",0,1
"journey",2,0
"jumpstart",1,0
"just",1,0
"keep",1,1
"kidnaps",1,0
"kind",0,1
"kingdom",1,1
"knight",0,1
"know",0,1
"known",2,1
"krypton",0,1
"land",0,1
"lang",2,0
"lantern",0,1
"latest",1,0
"latter",0,1
"laura",1,0
"lead",1,0
"leads",1,0
"learn",3,0
"leaves",0,1
"left",0,1
"legacy",1,0
"lensherr",1,0
"life",7,0
"like",1,0
"liking",1,0
"line",0,1
"live",1,1
"logan",2,0
"loki",1,0
"looks",1,0
"lord",0,1
"loses",1,0
"loved",1,0
"machinations",1,0
"mad",1,0
"magneto",2,0
"major",0,1
"makes",0,1
"man",7,2
"mandarin",1,0
"many",1,0
"martial",1,0
"meet",1,0
"menace",1,1
"mentally",0,1
"mentor",1,1
"mercenary",2,0
"metallined",1,0
"middle",1,0
"midgard",1,0
"mightiest",2,0
"military",1,1
"mischievous",1,0
"missing",0,1
"mission",1,1
"mistreated",0,1
"modern",1,0
"modified",1,0
"monger",1,0
"monster",2,0
"montoya",0,1
"mortal",1,0
"mother",0,1
"motorcycle",1,0
"murder",0,1
"must",19,6
"mutant",6,0
"mutants",5,0
"mutations",1,0
"mysterious",1,0
"mystic",1,0
"named",1,0
"napier",0,1
"neardeath",1,0
"nearly",1,0
"needs",0,1
"nerdy",2,0
"neurosurgeon",1,0
"new",9,0
"newfound",1,1
"newly",0,1
"nightstalkers",1,0
"notably",1,0
"now",2,1
"nur",1,0
"nygma",0,1
"ocean",0,1
"octavius",1,0
"odyssey",1,0
"offer",0,1
"old",1,0
"one",3,1
"ones",1,0
"oppose",1,0
"order",2,0
"ordinary",1,0
"organization",1,0
"organized",1,0
"orphan",0,1
"oscorp",1,0
"others",1,0
"otherworldly",0,1
"otto",1,0
"outside",0,1
"outsiders",1,0
"pacifist",1,0
"parker",4,0
"past",5,0
"path",0,2
"peace",0,1
"peacekeeping",1,0
"penguin",0,1
"people",1,1
"perilous",1,0
"persona",1,0
"personal",3,0
"personas",0,1
"peter",4,0
"phoenix",2,0
"physical",2,1
"pilot",0,2
"plan",2,0
"planet",1,2
"planeteating",1,0
"plans",2,0
"plunge",1,0
"poison",0,1
"police",0,1
"policewoman",0,1
"political",1,0
"powerful",5,1
"powers",2,3
"present",1,0
"prevent",1,1
"price",1,0
"prince",0,1
"professor",1,0
"program",1,0
"protect",4,0
"protecting",1,0
"protector",1,0
"prove",0,2
"prowling",1,0
"psychological",0,1
"psychologist",0,1
"pull",2,0
"pulled",1,0
"punisher",1,0
"purge",1,0
"pursued",1,0
"pursues",0,1
"pursuing",1,0
"pursuit",1,0
"put",1,0
"puts",1,0
"pym",2,0
"queens",1,0
"quest",0,1
"quiet",1,0
"quinn",0,1
"race",2,0
"races",1,0
"radiation",1,0
"raging",1,0
"ragnarfk",1,0
"ready",0,1
"really",0,1
"reapers",1,0
"rebuilding",1,0
"reckless",0,1
"recruits",0,1
"redemption",1,0
"reflexes",0,1
"refuse",0,1
"reign",0,1
"rejected",1,0
"relationship",0,1
"remaining",2,0
"renee",0,1
"reporter",1,0
"reptilian",1,0
"researcher",1,0
"restore",1,0
"restored",0,1
"results",1,0
"retribution",1,0
"return",1,0
"returns",0,1
"reunion",1,0
"reunite",1,0
"revenge",1,0
"reverse",1,0
"revolution",0,1
"riddler",0,1
"rider",2,0
"riders",1,0
"rift",1,0
"ring",0,1
"rivalry",1,0
"robin",0,2
"rock",1,0
"rogers",2,0
"rogues",1,0
"role",1,0
"rorschach",0,1
"ruin",1,0
"ruined",2,0
"ruins",1,0
"run",1,0
"ruthless",1,0
"ruthlessly",1,0
"sabah",1,0
"sacrifice",1,0
"safety",1,0
"sakaar",1,0
"sarcastic",1,0
"save",6,3
"saved",1,0
"scale",1,0
"scarred",0,1
"schism",1,0
"school",3,0
"scientist",3,0
"scientists",1,0
"scott",2,0
"search",0,1
"secret",1,1
"secrets",1,0
"selfless",0,1
"sells",1,0
"send",1,0
"sends",0,2
"senses",1,1
"sent",1,2
"serum",1,0
"service",1,0
"sets",2,0
"shield",1,0
"shocking",1,0
"shrink",1,0
"shy",1,1
"sidekick",0,1
"siege",1,0
"silver",1,0
"singer",1,0
"single",1,0
"sinners",1,0
"sins",1,0
"sisters",0,1
"skies",1,0
"slaughtered",1,0
"slaying",1,0
"society",0,1
"soldier",2,0
"something",0,2
"son",1,0
"soon",1,1
"soul",1,0
"space",0,1
"special",1,0
"speed",0,1
"spending",0,1
"spider",2,0
"spiderlike",2,0
"spiderman",3,0
"spiral",0,1
"spiritual",1,0
"splitting",0,1
"sprawling",0,1
"square",1,0
"stark",3,0
"starks",1,0
"starlords",1,0
"starts",2,0
"steel",0,1
"step",2,0
"steve",2,0
"stop",6,2
"strange",1,0
"strength",1,0
"struggle",1,0
"struggles",1,0
"struggling",1,0
"stryker",1,0
"student",2,0
"suffers",1,0
"suicide",0,1
"suit",1,0
"super",0,1
"superhero",4,1
"superheroes",0,2
"superman",0,2
"supermans",0,1
"supernatural",2,1
"superpowered",3,0
"superpowers",1,0
"supersoldier",1,0
"supersuit",1,0
"supervillains",0,1
"supremacist",1,0
"surfer",1,0
"survives",1,0
"survivors",0,1
"swore",1,0
"symbiotes",1,0
"take",2,0
"takes",1,1
"taking",1,0
"targets",1,0
"task",0,1
"tchalla",1,0
"team",4,0
"teams",1,0
"teleport",1,0
"tells",0,1
"temper",1,0
"temptations",1,0
"terrible",1,0
"terrorist",2,2
"test",0,1
"tests",0,1
"thanos",2,0
"thin",0,1
"things",1,1
"thor",3,0
"threat",1,0
"threatened",0,1
"threats",1,0
"thrive",1,0
"ties",1,0
"time",1,0
"timetraveling",1,0
"together",5,1
"tony",4,0
"torn",1,0
"tortured",1,0
"toxic",1,0
"track",1,0
"tragedy",1,0
"tragic",1,0
"trail",1,0
"training",0,2
"transform",1,0
"transformed",1,0
"transforms",1,0
"tries",1,0
"troubled",0,1
"troubles",1,0
"true",0,1
"try",1,1
"turmoil",1,0
"turn",1,0
"turned",1,0
"turns",1,0
"two",3,0
"twoface",0,1
"ugly",1,0
"ultron",2,0
"unchecked",0,1
"uncontrollable",1,0
"uncover",1,0
"uncovering",0,1
"undercover",1,0
"underwater",0,1
"uneasy",1,0
"unexpected",0,1
"unique",1,0
"universe",7,0
"universes",1,0
"unleash",1,1
"upon",1,0
"urgent",1,0
"use",2,0
"vampire",1,0
"vampires",2,0
"van",1,0
"vendetta",0,1
"vengeful",2,0
"ventures",1,0
"victor",2,0
"vigilante",1,1
"villain",1,0
"villainous",1,0
"villains",1,0
"von",1,0
"wade",1,0
"wakanda",1,0
"walks",0,1
"wanted",1,0
"war",4,3
"warrants",0,1
"warrior",2,1
"wasp",1,0
"waste",1,0
"wayne",0,1
"ways",1,0
"wealth",0,1
"weapon",1,0
"weaponized",1,0
"weary",1,0
"well",1,0
"whenever",1,0
"whose",2,1
"widow",1,0
"will",3,0
"william",1,0
"willing",1,0
"wilson",1,0
"winter",1,0
"wisecracking",1,0
"wishes",0,1
"wolverine",3,0
"woman",0,1
"work",2,1
"world",10,6
"worlds",0,1
"worth",1,0
"wrath",1,0
"wreaking",0,1
"wreaks",0,1
"wrestles",0,1
"wrong",1,0
"xavier",1,0
"xmen",6,0
"yakuza",1,0
"years",2,2
"yet",1,0
"york",2,0
"young",4,3
